,urn,public_domain,license,actions
0,URN:NBN:no-nb_digibok_2008090903026,True,publicdomain,['download']
1,URN:NBN:no-nb_digibok_2010020903013,True,publicdomain,['download']
2,URN:NBN:no-nb_digibok_2018042548162,True,publicdomain,['download']
3,URN:NBN:no-nb_digibok_2018022628019,True,publicdomain,['download']
4,URN:NBN:no-nb_digibok_2016011848064,True,publicdomain,['download']
5,URN:NBN:no-nb_digibok_2009060313002,True,publicdomain,['download']
6,URN:NBN:no-nb_digibok_2012021308121,True,publicdomain,['download']
7,URN:NBN:no-nb_digibok_2021042748602,True,publicdomain,['download']
8,URN:NBN:no-nb_digibok_2014092608088,False,copyrighted,['download']
9,URN:NBN:no-nb_digibok_2007102910008,True,publicdomain,['download']
10,URN:NBN:no-nb_digibok_2021031148626,False,bokhylla,
11,URN:NBN:no-nb_digibok_2018040528008,True,publicdomain,['download']
12,URN:NBN:no-nb_digibok_2013062808026,True,publicdomain,['download']
13,URN:NBN:no-nb_digibok_2015070808051,False,bokhylla,
14,URN:NBN:no-nb_digibok_2009020500028,True,publicdomain,['download']
15,URN:NBN:no-nb_digibok_2010030903066,True,publicdomain,['download']
16,URN:NBN:no-nb_digibok_2017052926004,True,publicdomain,['download']
17,URN:NBN:no-nb_digibok_2018092548009,True,publicdomain,['download']
18,URN:NBN:no-nb_digibok_2011110724009,True,publicdomain,['download']
19,URN:NBN:no-nb_digibok_2021090848043,False,copyrighted,
20,URN:NBN:no-nb_digibok_2014071708085,True,publicdomain,['download']
21,URN:NBN:no-nb_digibok_2017021748701,False,copyrighted,['download']
22,URN:NBN:no-nb_digibok_2013100308042,False,copyrighted,
23,URN:NBN:no-nb_digibok_2008120810001,True,publicdomain,['download']
24,URN:NBN:no-nb_digibok_2015062408057,False,bokhylla,
25,URN:NBN:no-nb_digibok_2008010710005,True,publicdomain,['download']
26,URN:NBN:no-nb_digibok_2017031028005,False,copyrighted,['download']
27,URN:NBN:no-nb_digibok_2010070605019,False,bokhylla,
28,URN:NBN:no-nb_digibok_2020031026005,True,publicdomain,['download']
29,URN:NBN:no-nb_digibok_2022011448538,True,publicdomain,['download']
30,URN:NBN:no-nb_digibok_2016111748532,True,publicdomain,['download']
31,URN:NBN:no-nb_digibok_2009061503011,True,publicdomain,['download']
32,URN:NBN:no-nb_digibok_2009102704114,True,publicdomain,['download']
33,URN:NBN:no-nb_digibok_2016072026004,True,publicdomain,['download']
34,URN:NBN:no-nb_digibok_2021091648056,False,copyrighted,
35,URN:NBN:no-nb_digibok_2008011810001,True,publicdomain,['download']
36,URN:NBN:no-nb_digibok_2013021224002,True,publicdomain,['download']
37,URN:NBN:no-nb_digibok_2021100848084,False,copyrighted,
38,URN:NBN:no-nb_digibok_2014052208040,False,bokhylla,
39,URN:NBN:no-nb_digibok_2019081926006,True,publicdomain,['download']
40,URN:NBN:no-nb_digibok_2013012407045,False,copyrighted,['download']
41,URN:NBN:no-nb_digibok_2015060948062,True,publicdomain,['download']
42,URN:NBN:no-nb_digibok_2015062608025,True,publicdomain,['download']
43,URN:NBN:no-nb_digibok_2009042803029,True,publicdomain,['download']
44,URN:NBN:no-nb_digibok_2009052703004,True,publicdomain,['download']
45,URN:NBN:no-nb_digibok_2012092808145,True,publicdomain,['download']
46,URN:NBN:no-nb_digibok_2016102648057,True,publicdomain,['download']
47,URN:NBN:no-nb_digibok_2008040204016,True,publicdomain,['download']
48,URN:NBN:no-nb_digibok_2019062026002,True,publicdomain,['download']
49,URN:NBN:no-nb_digibok_2008081210004,True,publicdomain,['download']
50,URN:NBN:no-nb_digibok_2010052720010,False,copyrighted,['download']
51,URN:NBN:no-nb_digibok_2009041403001,False,bokhylla,
52,URN:NBN:no-nb_digibok_2021100848085,False,bokhylla,
53,URN:NBN:no-nb_digibok_2008012410002,True,publicdomain,['download']
54,URN:NBN:no-nb_digibok_2016070748032,False,bokhylla,
55,URN:NBN:no-nb_digibok_2009020300038,True,publicdomain,['download']
56,URN:NBN:no-nb_digibok_2017081448181,False,copyrighted,
57,URN:NBN:no-nb_digibok_2007052210002,True,publicdomain,['download']
58,URN:NBN:no-nb_digibok_2013061308015,False,copyrighted,['download']
59,URN:NBN:no-nb_digibok_2008010710003,True,publicdomain,['download']
60,URN:NBN:no-nb_digibok_2009090903013,True,publicdomain,['download']
61,URN:NBN:no-nb_digibok_2017050348104,False,bokhylla,
62,URN:NBN:no-nb_digibok_2014030408130,True,publicdomain,['download']
63,URN:NBN:no-nb_digibok_2007121710002,True,publicdomain,['download']
64,URN:NBN:no-nb_digibok_2010020312008,True,publicdomain,['download']
65,URN:NBN:no-nb_digibok_2016101248045,False,copyrighted,['download']
66,URN:NBN:no-nb_digibok_2017112748076,False,bokhylla,
67,URN:NBN:no-nb_digibok_2014040908007,True,publicdomain,['download']
68,URN:NBN:no-nb_digibok_2016102148008,False,copyrighted,['download']
69,URN:NBN:no-nb_digibok_2012031308023,True,publicdomain,['download']
70,URN:NBN:no-nb_digibok_2015061048004,True,publicdomain,['download']
71,URN:NBN:no-nb_digibok_2015081808043,False,copyrighted,['download']
72,URN:NBN:no-nb_digibok_2020102207534,False,bokhylla,
73,URN:NBN:no-nb_digibok_2015063008160,False,bokhylla,
74,URN:NBN:no-nb_digibok_2012080113001,True,publicdomain,['download']
75,URN:NBN:no-nb_digibok_2016092848192,True,publicdomain,['download']
76,URN:NBN:no-nb_digibok_2012102608114,True,publicdomain,['download']
77,URN:NBN:no-nb_digibok_2011072610007,True,publicdomain,['download']
78,URN:NBN:no-nb_digibok_2010052806015,True,publicdomain,['download']
79,URN:NBN:no-nb_digibok_2010021603024,True,publicdomain,['download']
80,URN:NBN:no-nb_digibok_2007082712001,True,publicdomain,['download']
81,URN:NBN:no-nb_digibok_2010062806131,True,publicdomain,['download']
82,URN:NBN:no-nb_digibok_2014040408164,True,publicdomain,['download']
83,URN:NBN:no-nb_digibok_2010083023013,False,bokhylla,
84,URN:NBN:no-nb_digibok_2021100748594,False,copyrighted,
85,URN:NBN:no-nb_digibok_2017101226007,True,publicdomain,['download']
86,URN:NBN:no-nb_digibok_2021101348522,True,publicdomain,['download']
